year,country,treatment,sum_country_year,a1_patent_reqs,a2_comp_implem_inv,a3_pharma_patent_enforce,b2_Singapore,b3_patent_law_treaty,b4_post_TRIPS,d1_trade_secrets,d2_barriers_access
2017,Algeria,0,1,0,0,0,0,0.5,0,0.25,0.25
2018,Algeria,0,0.75,0,0,0,0,0.5,0,0.25,0
2019,Algeria,0,0.75,0,0,0,0,0.5,0,0.25,0
2014,Argentina,0,1,0.25,0.25,0,0,0,0,0.25,0.25
2015,Argentina,0,0.75,0,0.25,0,0,0,0,0.25,0.25
2017,Argentina,0,1,0,0.25,0,0,0,0,0.25,0.5
2018,Argentina,0,1,0.25,0.25,0,0,0,0,0.25,0.25
2019,Argentina,0,1,0.25,0.25,0,0,0,0,0.25,0.25
2014,Australia,1,7.25,0.75,1,0.75,1,1,1,0.75,1
2015,Australia,1,7.5,1,1,0.75,1,1,1,0.75,1
2017,Australia,1,7.25,0.75,1,0.75,1,1,1,0.75,1
2018,Australia,1,7,0.75,1,0.5,1,1,1,0.75,1
2019,Australia,1,7,0.75,1,0.5,1,1,1,0.75,1
2014,Brazil,0,2.25,0,0.25,0,0,0.5,0,0.5,1
2015,Brazil,0,2.25,0,0.25,0,0,0.5,0,0.5,1
2017,Brazil,0,1.25,0,0.25,0,0,0.5,0,0.5,0
2018,Brazil,0,2,0,0.25,0,0,0.5,0,0.5,0.75
2019,Brazil,0,2,0,0.25,0,0,0.5,0,0.5,0.75
2017,Brunei,0,3.25,0.75,0.75,0,0,0,0.5,0.25,1
2018,Brunei,0,2.75,0.75,0.75,0,0,0,0,0.25,1
2019,Brunei,0,2.75,0.75,0.75,0,0,0,0,0.25,1
2014,Canada,0,4,0.25,1,0.25,0,0.5,0,1,1
2015,Canada,0,4,0.25,1,0.25,0,0.5,0,1,1
2017,Canada,0,4.5,0.25,1,0.25,0,0.5,0.5,1,1
2018,Canada,0,5.5,0.75,1,0.25,0,0.5,1,1,1
2019,Canada,0,5.5,0.75,1,0.25,0,0.5,1,1,1
2014,Chile,0,2,0.25,0,0,0,0,1,0.25,0.5
2015,Chile,0,1.75,0.25,0,0,0,0,1,0.25,0.25
2017,Chile,0,2,0.25,0,0,0,0,1,0.25,0.5
2018,Chile,0,1.75,0.25,0,0,0,0,1,0.25,0.25
2019,Chile,0,1.75,0.25,0,0,0,0,1,0.25,0.25
2014,China,0,2,0.5,1,0,0.5,0,0,0,0
2015,China,0,2.25,0.5,1,0,0.5,0,0,0.25,0
2017,China,0,2.25,0.5,1,0,0.5,0,0,0.25,0
2018,China,1,3,0.75,1,0.5,0.5,0,0,0.25,0
2019,China,1,3,0.75,1,0.5,0.5,0,0,0.25,0
2014,Colombia,0,2.5,0.5,0,0.25,0,0,1,0.5,0.25
2015,Colombia,0,2.5,0.5,0,0.25,0,0,1,0.5,0.25
2017,Colombia,0,3,0.5,0.5,0.25,0,0,1,0.5,0.25
2018,Colombia,0,3,0.5,0.5,0.25,0,0,1,0.5,0.25
2019,Colombia,0,3,0.5,0.5,0.25,0,0,1,0.5,0.25
2018,Costa Rica,0,4.25,0.5,0.75,0.25,0.5,0,1,0.5,0.75
2019,Costa Rica,0,4.25,0.5,0.75,0.25,0.5,0,1,0.5,0.75
2017,Ecuador,0,1,0.5,0,0,0,0,0,0.25,0.25
2018,Ecuador,0,1.25,0.5,0,0,0,0,0.5,0.25,0
2019,Ecuador,0,1.25,0.5,0,0,0,0,0.5,0.25,0
2017,Egypt,0,1.5,0.25,0.5,0,0,0,0,0.25,0.5
2018,Egypt,0,1.75,0.25,0.5,0,0,0,0,0.25,0.75
2019,Egypt,0,1.75,0.25,0.5,0,0,0,0,0.25,0.75
2014,France,0,7.25,1,1,0.5,1,1,1,0.75,1
2015,France,0,7.25,1,1,0.5,1,1,1,0.75,1
2017,France,0,7,1,1,0.5,1,1,1,0.75,0.75
2018,France,0,7.25,1,1,0.5,1,1,1,0.75,1
2019,France,0,7,1,1,0.5,0.75,1,1,0.75,1
2015,Germany,0,7,1,1,0.5,1,0.5,1,1,1
2017,Germany,0,6.75,1,1,0.5,1,0.5,1,1,0.75
2018,Germany,0,7,1,1,0.5,1,0.5,1,1,1
2019,Germany,0,7,1,1,0.5,1,0.5,1,1,1
2017,Hungary,0,5.75,0.75,0.75,0.5,0.5,1,1,0.5,0.75
2018,Hungary,0,6,0.75,0.75,0.5,0.5,1,1,0.5,1
2019,Hungary,0,6.25,0.75,0.75,0.5,0.5,1,1,0.75,1
2014,India,0,0.25,0,0,0,0,0,0,0.25,0
2015,India,0,0.5,0,0,0,0,0,0,0.25,0.25
2017,India,0,0.75,0,0.25,0,0,0,0,0.25,0.25
2018,India,0,1.25,0,0.75,0,0,0,0,0.25,0.25
2019,India,0,1.25,0,0.75,0,0,0,0,0.25,0.25
2014,Indonesia,0,0.75,0.5,0,0,0,0,0,0.25,0
2015,Indonesia,0,0.75,0.5,0,0,0,0,0,0.25,0
2017,Indonesia,0,0.5,0,0.25,0,0,0,0,0.25,0
2018,Indonesia,0,0.5,0,0.25,0,0,0,0,0.25,0
2019,Indonesia,0,0.5,0,0.25,0,0,0,0,0.25,0
2018,Ireland,0,7.25,1,1,0.5,1,1,1,0.75,1
2019,Ireland,0,7.5,1,1,0.5,1,1,1,1,1
2017,Israel,0,5,1,1,0.5,0,0.5,0,1,1
2018,Israel,0,5,1,1,0.5,0,0.5,0,1,1
2019,Israel,0,5,1,1,0.5,0,0.5,0,1,1
2017,Italy,0,6.5,0.75,1,0.5,1,0.5,1,1,0.75
2018,Italy,0,6.75,0.75,1,0.5,1,0.5,1,1,1
2019,Italy,0,6.75,0.75,1,0.5,1,0.5,1,1,1
2014,Japan,0,4.5,1,1,0.5,0,0,0,1,1
2015,Japan,0,4.5,1,1,0.5,0,0,0,1,1
2017,Japan,0,7.5,1,1,0.5,1,1,1,1,1
2018,Japan,0,6.5,1,1,0.5,1,1,0,1,1
2019,Japan,1,7,1,1,0.5,1,1,0.5,1,1
2018,Jordan,0,4.25,0.5,0.25,1,0,0,1,0.5,1
2019,Jordan,0,4.25,0.5,0.25,1,0,0,1,0.5,1
2017,Kenya,0,2.5,0.5,0.25,0,0.5,0.5,0,0.25,0.5
2018,Kenya,0,2.5,0.5,0.25,0,0.5,0.5,0,0.25,0.5
2019,Kenya,0,2.5,0.5,0.25,0,0.5,0.5,0,0.25,0.5
2014,Malaysia,0,2.75,1,0.25,0,0,0,0,0.5,1
2015,Malaysia,0,2.75,1,0.25,0,0,0,0,0.5,1
2017,Malaysia,0,2.5,1,0.25,0,0,0,0.5,0.5,0.25
2018,Malaysia,0,2.75,1,0.25,0,0,0,0,0.5,1
2019,Malaysia,0,2.75,1,0.25,0,0,0,0,0.5,1
2014,Mexico,0,2.5,0.5,0,0.25,0.5,0,0,0.5,0.75
2015,Mexico,0,2.4,0.4,0,0.25,0.5,0,0,0.5,0.75
2017,Mexico,0,2.75,0.5,0,0.25,0.5,0,0.5,0.5,0.5
2018,Mexico,0,2.25,0.5,0,0.25,0.5,0,0,0.5,0.5
2019,Mexico,0,2.75,0.5,0,0.25,0.5,0,0.5,0.5,0.5
2018,Morocco,0,4.75,0.75,0.5,1,0,0,1,0.5,1
2019,Morocco,0,4.75,0.75,0.5,1,0,0,1,0.5,1
2018,Netherlands,0,7.25,1,1,0.5,1,1,1,0.75,1
2019,Netherlands,0,7.5,1,1,0.5,1,1,1,1,1
2014,New Zealand,0,5.25,0.75,1,0.5,1,0,0,1,1
2015,New Zealand,0,5.25,0.75,1,0.5,1,0,0,1,1
2017,New Zealand,0,5.75,0.75,1,0.5,1,0,0.5,1,1
2018,New Zealand,0,5.25,0.75,1,0.5,1,0,0,1,1
2019,New Zealand,0,5.25,0.75,1,0.5,1,0,0,1,1
2014,Nigeria,0,2,0,0,0,0,1,0,0,1
2015,Nigeria,0,1.75,0,0,0,0,1,0,0,0.75
2017,Nigeria,0,1.25,0,0,0,0,1,0,0,0.25
2018,Nigeria,0,1.75,0,0,0,0,1,0,0,0.75
2019,Nigeria,0,1.75,0,0,0,0,1,0,0,0.75
2017,Pakistan,0,1,0.25,0.25,0,0,0,0,0.25,0.25
2018,Pakistan,0,1,0.25,0.25,0,0,0,0,0.25,0.25
2019,Pakistan,0,1,0.25,0.25,0,0,0,0,0.25,0.25
2015,Peru,0,4,0.5,0,0,1,0.5,1,0.25,0.75
2017,Peru,0,1.75,0.25,0,0,0,0,1,0.25,0.25
2018,Peru,0,2.25,0.25,0,0,0,0,1,0.25,0.75
2019,Peru,0,2.25,0.25,0,0,0,0,1,0.25,0.75
2017,Philippines,0,1.75,0.5,0.5,0.25,0,0,0,0.25,0.25
2018,Philippines,0,1.75,0.5,0.5,0.25,0,0,0,0.25,0.25
2019,Philippines,0,1.75,0.5,0.5,0.25,0,0,0,0.25,0.25
2017,Poland,0,4.75,0.5,0.25,0.25,1,0.5,1,0.5,0.75
2018,Poland,0,4.75,0.5,0.25,0.25,1,0.5,1,0.5,0.75
2019,Poland,0,5,0.5,0.25,0.25,1,0.5,1,0.75,0.75
2014,Russia,0,3.25,0.25,0.25,0,1,1,0,0,0.75
2015,Russia,0,3.25,0.25,0.25,0,1,1,0,0.25,0.5
2017,Russia,0,3,0.25,0.25,0,1,1,0,0.25,0.25
2018,Russia,0,2.75,0.25,0.25,0,1,1,0,0.25,0
2019,Russia,0,2.75,0.25,0.25,0,1,1,0,0.25,0
2017,Saudi Arabia,1,4.75,0.5,0.75,1,0,1,0,0.5,1
2018,Saudi Arabia,1,3.25,0.5,0.75,0,0,1,0,0.5,0.5
2019,Saudi Arabia,1,3.25,0.5,0.75,0,0,1,0,0.5,0.5
2014,Singapore,0,7,1,1,1,1,0,1,1,1
2015,Singapore,0,7,1,1,1,1,0,1,1,1
2017,Singapore,0,6.75,1,1,1,1,0,1,1,0.75
2018,Singapore,0,7,1,1,1,1,0,1,1,1
2019,Singapore,0,7,1,1,1,1,0,1,1,1
2014,South Africa,0,1.5,0,0,0,0,0,0,0.5,1
2015,South Africa,0,1.5,0,0,0,0,0,0,0.5,1
2017,South Africa,0,1,0,0,0,0,0,0,0.5,0.5
2018,South Africa,0,1,0,0,0,0,0,0,0.5,0.5
2019,South Africa,0,1,0,0,0,0,0,0,0.5,0.5
2015,South Korea,0,4.5,0.5,1,0.5,0,0,1,0.75,0.75
2017,South Korea,0,6,1,1,0.5,1,0,1,0.75,0.75
2018,South Korea,0,5.75,1,1,0.5,1,0,1,0.75,0.5
2019,South Korea,0,5.75,1,1,0.5,1,0,1,0.75,0.5
2017,Spain,0,6.75,0.75,1,0.5,1,1,1,0.75,0.75
2018,Spain,0,7,1,1,0.5,1,1,1,0.75,0.75
2019,Spain,0,7,1,1,0.5,1,1,1,0.75,0.75
2017,Sweden ,0,7.25,1,1,0.5,1,1,1,1,0.75
2018,Sweden ,0,7.5,1,1,0.5,1,1,1,1,1
2019,Sweden ,0,7.5,1,1,0.5,1,1,1,1,1
2015,Switzerland,0,7.5,1,1,0.5,1,1,1,1,1
2017,Switzerland,0,7.5,1,1,0.5,1,1,1,1,1
2018,Switzerland,0,7.5,1,1,0.5,1,1,1,1,1
2019,Switzerland,0,7.5,1,1,0.5,1,1,1,1,1
2015,Taiwan,0,3.25,0.5,1,0.25,0,0,0,0.5,1
2017,Taiwan,0,4.25,0.75,1,0.25,0.5,0.5,0,0.5,0.75
2018,Taiwan,0,4.75,1,1,0.25,0.5,0.5,0,0.5,1
2019,Taiwan,0,5.25,1,1,0.75,0.5,0.5,0,0.5,1
2014,Thailand,0,0.75,0.25,0.25,0,0,0,0,0.25,0
2015,Thailand,0,0.75,0.25,0.25,0,0,0,0,0.25,0
2017,Thailand,0,0.75,0.25,0.25,0,0,0,0,0.25,0
2018,Thailand,0,0.75,0.25,0.25,0,0,0,0,0.25,0
2019,Thailand,0,0.75,0.25,0.25,0,0,0,0,0.25,0
2014,Turkey,0,3.5,0.5,0.5,0,0.5,1,0,0.25,0.75
2015,Turkey,0,2.5,0.5,0.5,0,0.5,0.5,0,0.25,0.25
2017,Turkey,0,2.75,0.5,0.5,0,0.5,0.5,0,0.25,0.5
2018,Turkey,0,2.5,0.5,0.5,0,0.5,0.5,0,0.25,0.25
2019,Turkey,1,2.5,0.5,0.5,0,0.5,0.5,0,0.25,0.25
2014,Ukraine,0,2.5,0,0,0,1,1,0,0,0.5
2015,Ukraine,0,3.25,0,0,0,1,1,1,0,0.25
2017,Ukraine,0,3.5,0,0,0.25,1,1,1,0,0.25
2018,Ukraine,0,3.5,0,0,0.25,1,1,1,0,0.25
2019,Ukraine,0,3.5,0,0,0.25,1,1,1,0,0.25
2014,United Arab Emirates,0,2,0.5,0,1,0,0,0,0.5,0
2015,United Arab Emirates,0,2,0.5,0,1,0,0,0,0.5,0
2017,United Arab Emirates,1,3,0.5,0.5,1,0,0,0,0.5,0.5
2018,United Arab Emirates,1,2,0.5,0.5,0.5,0,0,0,0.5,0
2019,United Arab Emirates,1,1.5,0.5,0.5,0,0,0,0,0.5,0
2014,United Kingdom,0,7.5,1,1,0.5,1,1,1,1,1
2015,United Kingdom,0,7.5,1,1,0.5,1,1,1,1,1
2017,United Kingdom,0,7.25,1,1,0.5,1,1,1,1,0.75
2018,United Kingdom,0,7.5,1,1,0.5,1,1,1,1,1
2019,United Kingdom,0,7.5,1,1,0.5,1,1,1,1,1
2014,United States,0,8,1,1,1,1,1,1,1,1
2015,United States,0,7.75,0.75,1,1,1,1,1,1,1
2017,United States,0,7.75,0.75,1,1,1,1,1,1,1
2018,United States,0,7.75,0.75,1,1,1,1,1,1,1
2019,United States,0,7.75,0.75,1,1,1,1,1,1,1
2017,Venezuela,0,0.5,0,0.25,0,0,0,0,0.25,0
2018,Venezuela,0,1,0,0.25,0,0.5,0,0,0.25,0
2019,Venezuela,0,0.5,0,0.25,0,0,0,0,0.25,0
2014,Vietnam,0,0.75,0.25,0,0,0,0,0,0.5,0
2015,Vietnam,0,0.75,0.25,0,0,0,0,0,0.5,0
2017,Vietnam,0,1.75,0.25,0,0,0,0,0.5,0.5,0.5
2018,Vietnam,0,1.25,0.25,0,0,0,0,0.5,0.5,0
2019,Vietnam,0,1.25,0.25,0,0,0,0,0.5,0.5,0